time,accx,accy,accz,gyrx,gyry,gyrz
12:39:21.819,0.01,-0.06,-0.98,1.61,-0.44,1.26
12:39:21.826,0.01,-0.06,-0.99,1.61,-0.44,1.26
12:39:21.832,0.01,-0.06,-0.99,1.50,-0.44,1.26
12:39:21.836,0.01,-0.06,-0.99,1.50,-0.11,1.26
12:39:21.838,0.01,-0.06,-0.99,1.50,-0.11,1.55
12:39:22.781,0.01,-0.06,-0.99,1.50,-0.11,1.55
12:39:22.837,0.01,-0.06,-0.99,1.50,-0.11,1.55
12:39:22.843,0.01,-0.06,-0.97,1.50,-0.11,1.55
12:39:22.849,0.01,-0.06,-0.97,1.39,-0.11,1.55
12:39:22.852,0.01,-0.06,-0.97,1.39,-0.38,1.55
12:39:22.855,0.01,-0.06,-0.97,1.39,-0.38,1.66
12:39:23.824,0.01,-0.06,-0.97,1.39,-0.38,1.66
12:39:23.868,0.01,-0.05,-0.97,1.39,-0.38,1.66
12:39:23.875,0.01,-0.05,-0.98,1.39,-0.38,1.66
12:39:23.883,0.01,-0.05,-0.98,1.27,-0.38,1.66
12:39:23.889,0.01,-0.05,-0.98,1.27,-0.03,1.66
12:39:23.892,0.01,-0.05,-0.98,1.27,-0.03,1.18
12:39:24.855,0.02,-0.05,-0.98,1.27,-0.03,1.18
12:39:24.898,0.02,-0.06,-0.98,1.27,-0.03,1.18
12:39:24.905,0.02,-0.06,-0.98,1.27,-0.03,1.18
12:39:24.909,0.02,-0.06,-0.98,1.55,-0.03,1.18
12:39:24.918,0.02,-0.06,-0.98,1.55,-0.05,1.18
12:39:24.927,0.02,-0.06,-0.98,1.55,-0.05,1.11
12:39:25.888,0.02,-0.06,-0.98,1.55,-0.05,1.11
12:39:25.931,0.02,-0.06,-0.98,1.55,-0.05,1.11
12:39:25.937,0.02,-0.06,-0.98,1.55,-0.05,1.11
12:39:25.942,0.02,-0.06,-0.98,1.48,-0.05,1.11
12:39:25.952,0.02,-0.06,-0.98,1.48,-0.46,1.11
12:39:25.956,0.02,-0.06,-0.98,1.48,-0.46,1.37
12:39:26.926,0.02,-0.06,-0.98,1.48,-0.46,1.37
12:39:26.969,0.02,-0.05,-0.98,1.48,-0.46,1.37
12:39:26.981,0.02,-0.05,-0.96,1.48,-0.46,1.37
12:39:26.987,0.02,-0.05,-0.96,1.40,-0.46,1.37
12:39:26.990,0.02,-0.05,-0.96,1.40,-0.17,1.37
12:39:26.993,0.02,-0.05,-0.96,1.40,-0.17,1.39
12:39:27.954,0.01,-0.05,-0.96,1.40,-0.17,1.39
12:39:27.997,0.01,-0.06,-0.96,1.40,-0.17,1.39
12:39:28.003,0.01,-0.06,-0.97,1.40,-0.17,1.39
12:39:28.009,0.01,-0.06,-0.97,1.38,-0.17,1.39
12:39:28.016,0.01,-0.06,-0.97,1.38,-0.08,1.39
12:39:28.034,0.01,-0.06,-0.97,1.38,-0.08,1.32
12:39:28.986,0.02,-0.06,-0.97,1.38,-0.08,1.32
12:39:29.029,0.02,-0.06,-0.97,1.38,-0.08,1.32
12:39:29.036,0.02,-0.06,-0.98,1.38,-0.08,1.32
12:39:29.041,0.02,-0.06,-0.98,2.05,-0.08,1.32
12:39:29.049,0.02,-0.06,-0.98,2.05,0.13,1.32
12:39:29.053,0.02,-0.06,-0.98,2.05,0.13,1.73
12:39:30.020,0.02,-0.06,-0.98,2.05,0.13,1.73
12:39:30.063,0.02,-0.06,-0.98,2.05,0.13,1.73
12:39:30.070,0.02,-0.06,-0.97,2.05,0.13,1.73
12:39:30.075,0.02,-0.06,-0.97,1.53,0.13,1.73
12:39:30.082,0.02,-0.06,-0.97,1.53,0.17,1.73
12:39:30.085,0.02,-0.06,-0.97,1.53,0.17,1.24
12:39:31.055,-0.00,-0.06,-0.97,1.53,0.17,1.24
12:39:31.061,-0.00,-0.05,-0.97,1.53,0.17,1.24
12:39:31.065,-0.00,-0.05,-0.95,1.53,0.17,1.24
12:39:31.068,-0.00,-0.05,-0.95,-21.23,0.17,1.24
12:39:31.071,-0.00,-0.05,-0.95,-21.23,42.95,1.24
12:39:31.074,-0.00,-0.05,-0.95,-21.23,42.95,-2.71
12:39:32.086,0.14,-0.05,-0.95,-21.23,42.95,-2.71
12:39:32.130,0.14,-0.07,-0.95,-21.23,42.95,-2.71
12:39:32.136,0.14,-0.07,-1.14,-21.23,42.95,-2.71
12:39:32.139,0.14,-0.07,-1.14,7.79,42.95,-2.71
12:39:32.142,0.14,-0.07,-1.14,7.79,-5.82,-2.71
12:39:32.152,0.14,-0.07,-1.14,7.79,-5.82,2.37
12:39:33.120,0.02,-0.07,-1.14,7.79,-5.82,2.37
12:39:33.164,0.02,-0.06,-1.14,7.79,-5.82,2.37
12:39:33.171,0.02,-0.06,-0.98,7.79,-5.82,2.37
12:39:33.174,0.02,-0.06,-0.98,1.57,-5.82,2.37
12:39:33.178,0.02,-0.06,-0.98,1.57,0.32,2.37
12:39:33.189,0.02,-0.06,-0.98,1.57,0.32,1.85
12:39:34.148,0.02,-0.06,-0.98,1.57,0.32,1.85
12:39:34.196,0.02,-0.06,-0.98,1.57,0.32,1.85
12:39:34.202,0.02,-0.06,-0.97,1.57,0.32,1.85
12:39:34.206,0.02,-0.06,-0.97,0.15,0.32,1.85
12:39:34.209,0.02,-0.06,-0.97,0.15,-0.38,1.85
12:39:34.216,0.02,-0.06,-0.97,0.15,-0.38,1.01
12:39:35.182,0.07,-0.06,-0.97,0.15,-0.38,1.01
12:39:35.230,0.07,-0.02,-0.97,0.15,-0.38,1.01
12:39:35.236,0.07,-0.02,-0.98,0.15,-0.38,1.01
12:39:35.239,0.07,-0.02,-0.98,5.15,-0.38,1.01
12:39:35.242,0.07,-0.02,-0.98,5.15,-11.31,1.01
12:39:35.248,0.07,-0.02,-0.98,5.15,-11.31,2.20
12:39:36.221,0.02,-0.02,-0.98,5.15,-11.31,2.20
12:39:36.264,0.02,-0.05,-0.98,5.15,-11.31,2.20
12:39:36.274,0.02,-0.05,-0.98,5.15,-11.31,2.20
12:39:36.281,0.02,-0.05,-0.98,1.30,-11.31,2.20
12:39:36.285,0.02,-0.05,-0.98,1.30,-0.23,2.20
12:39:36.288,0.02,-0.05,-0.98,1.30,-0.23,1.17
12:39:37.253,0.01,-0.05,-0.98,1.30,-0.23,1.17
12:39:37.296,0.01,-0.05,-0.98,1.30,-0.23,1.17
12:39:37.303,0.01,-0.05,-0.97,1.30,-0.23,1.17
12:39:37.306,0.01,-0.05,-0.97,1.38,-0.23,1.17
12:39:37.314,0.01,-0.05,-0.97,1.38,0.11,1.17
12:39:37.318,0.01,-0.05,-0.97,1.38,0.11,1.18
12:39:38.278,0.02,-0.05,-0.97,1.38,0.11,1.18
12:39:38.333,0.02,-0.04,-0.97,1.38,0.11,1.18
12:39:38.339,0.02,-0.04,-0.97,1.38,0.11,1.18
12:39:38.343,0.02,-0.04,-0.97,1.60,0.11,1.18
12:39:38.348,0.02,-0.04,-0.97,1.60,-0.21,1.18
12:39:38.352,0.02,-0.04,-0.97,1.60,-0.21,1.12
12:39:39.315,0.02,-0.04,-0.97,1.60,-0.21,1.12
12:39:39.362,0.02,-0.05,-0.97,1.60,-0.21,1.12
12:39:39.368,0.02,-0.05,-0.98,1.60,-0.21,1.12
12:39:39.373,0.02,-0.05,-0.98,1.49,-0.21,1.12
12:39:39.376,0.02,-0.05,-0.98,1.49,-0.05,1.12
12:39:39.382,0.02,-0.05,-0.98,1.49,-0.05,1.13
12:39:40.351,0.02,-0.05,-0.98,1.49,-0.05,1.13
12:39:40.394,0.02,-0.05,-0.98,1.49,-0.05,1.13
12:39:40.400,0.02,-0.05,-0.97,1.49,-0.05,1.13
12:39:40.403,0.02,-0.05,-0.97,1.47,-0.05,1.13
12:39:40.406,0.02,-0.05,-0.97,1.47,0.02,1.13
12:39:40.409,0.02,-0.05,-0.97,1.47,0.02,1.31
12:39:41.381,0.02,-0.05,-0.97,1.47,0.02,1.31
12:39:41.427,0.02,-0.04,-0.97,1.47,0.02,1.31
12:39:41.434,0.02,-0.04,-0.97,1.47,0.02,1.31
12:39:41.437,0.02,-0.04,-0.97,1.56,0.02,1.31
12:39:41.440,0.02,-0.04,-0.97,1.56,-0.09,1.31
12:39:41.443,0.02,-0.04,-0.97,1.56,-0.09,1.45
12:39:42.417,0.02,-0.04,-0.97,1.56,-0.09,1.45
12:39:42.460,0.02,-0.05,-0.97,1.56,-0.09,1.45
12:39:42.464,0.02,-0.05,-0.97,1.56,-0.09,1.45
12:39:42.468,0.02,-0.05,-0.97,1.53,-0.09,1.45
12:39:42.471,0.02,-0.05,-0.97,1.53,-0.08,1.45
12:39:42.475,0.02,-0.05,-0.97,1.53,-0.08,1.21
12:39:43.446,0.02,-0.05,-0.97,1.53,-0.08,1.21
12:39:43.502,0.02,-0.05,-0.97,1.53,-0.08,1.21
12:39:43.506,0.02,-0.05,-0.98,1.53,-0.08,1.21
12:39:43.509,0.02,-0.05,-0.98,1.55,-0.08,1.21
12:39:43.514,0.02,-0.05,-0.98,1.55,-0.14,1.21
12:39:43.518,0.02,-0.05,-0.98,1.55,-0.14,1.21
12:39:44.477,0.01,-0.05,-0.98,1.55,-0.14,1.21
12:39:44.526,0.01,-0.05,-0.98,1.55,-0.14,1.21
12:39:44.533,0.01,-0.05,-0.97,1.55,-0.14,1.21
12:39:44.536,0.01,-0.05,-0.97,1.40,-0.14,1.21
12:39:44.539,0.01,-0.05,-0.97,1.40,-0.28,1.21
12:39:44.543,0.01,-0.05,-0.97,1.40,-0.28,1.24
12:39:45.511,0.01,-0.05,-0.97,1.40,-0.28,1.24
12:39:45.559,0.01,-0.05,-0.97,1.40,-0.28,1.24
12:39:45.562,0.01,-0.05,-0.98,1.40,-0.28,1.24
12:39:45.566,0.01,-0.05,-0.98,1.49,-0.28,1.24
12:39:45.569,0.01,-0.05,-0.98,1.49,-0.02,1.24
12:39:45.572,0.01,-0.05,-0.98,1.49,-0.02,1.19
12:39:46.544,0.02,-0.05,-0.98,1.49,-0.02,1.19
12:39:46.603,0.02,-0.04,-0.98,1.49,-0.02,1.19
12:39:46.609,0.02,-0.04,-0.98,1.49,-0.02,1.19
12:39:46.615,0.02,-0.04,-0.98,1.50,-0.02,1.19
12:39:46.618,0.02,-0.04,-0.98,1.50,0.02,1.19
12:39:46.621,0.02,-0.04,-0.98,1.50,0.02,1.18
12:39:47.578,0.01,-0.04,-0.98,1.50,0.02,1.18
12:39:47.587,0.01,-0.05,-0.98,1.50,0.02,1.18
12:39:47.590,0.01,-0.05,-0.98,1.50,0.02,1.18
12:39:47.594,0.01,-0.05,-0.98,1.57,0.02,1.18
12:39:47.600,0.01,-0.05,-0.98,1.57,0.02,1.18
12:39:47.603,0.01,-0.05,-0.98,1.57,0.02,1.08
12:39:48.612,0.01,-0.05,-0.98,1.57,0.02,1.08
12:39:48.656,0.01,-0.05,-0.98,1.57,0.02,1.08
12:39:48.662,0.01,-0.05,-0.97,1.57,0.02,1.08
12:39:48.666,0.01,-0.05,-0.97,1.37,0.02,1.08
12:39:48.669,0.01,-0.05,-0.97,1.37,-0.08,1.08
12:39:48.673,0.01,-0.05,-0.97,1.37,-0.08,0.98
12:39:49.643,0.01,-0.05,-0.97,1.37,-0.08,0.98
12:39:49.702,0.01,-0.04,-0.97,1.37,-0.08,0.98
12:39:49.706,0.01,-0.04,-0.98,1.37,-0.08,0.98
12:39:49.712,0.01,-0.04,-0.98,1.38,-0.08,0.98
12:39:49.716,0.01,-0.04,-0.98,1.38,-0.15,0.98
12:39:49.719,0.01,-0.04,-0.98,1.38,-0.15,1.02
12:39:50.677,0.01,-0.04,-0.98,1.38,-0.15,1.02
12:39:50.727,0.01,-0.05,-0.98,1.38,-0.15,1.02
12:39:50.733,0.01,-0.05,-0.98,1.38,-0.15,1.02
12:39:50.737,0.01,-0.05,-0.98,1.40,-0.15,1.02
12:39:50.740,0.01,-0.05,-0.98,1.40,0.01,1.02
12:39:50.746,0.01,-0.05,-0.98,1.40,0.01,1.01
12:39:51.713,0.02,-0.05,-0.98,1.40,0.01,1.01
